Book Number,Name
1,Bereshit
2,Shemot
3,Vayikra
4,Bamidbar
5,Devarim
6,Yehoshua
7,Shoftim
8,Rut
9,Shmuel Alef
10,Shmuel Bet
11,Melakhim Alef
12,Melakhim Bet
13,Divrei Hayamim Alef
14,Divrei Hayamim Bet
15,Ezra
16,Nechemyah
17,Ester
18,Iyov
19,Tehillim
20,Mishlei
21,Kohelet
22,Shir HaShirim
23,Yeshayahu
24,Yirmiyahu
25,Eikhah
26,Yechezkel
27,Daniel
28,Hoshea
29,Yoel
30,Amos
31,Ovadiah
32,Yonah
33,Mikhah
34,Nachum
35,Chavakuk
36,Tzefanyah
37,Chaggai
38,Zekharyah
39,Malakhi
40,Matityahu
41,Markos
42,Loukas
43,Yochanan
44,Ma'asei HaShlichim
45,Igeret el HaRomim
46,Igeret Alef el HaKorintiyim
47,Igeret Bet el HaKorintiyim
48,Igeret el HaGalatim
49,Igeret el HaEph'siyim
50,Igeret el HaPhilippiyim
51,Igeret el HaKolosiyim
52,Igeret Alef el HaThessalonikiyim
53,Igeret Bet el HaThessalonikiyim
54,Igeret Alef el Timotiyos
55,Igeret Bet el Timotiyos
56,Igeret el Titus
57,Igeret el Philemon
58,Ivri’im
59,Ya’akov
60,Kepha Alef
61,Kepha Bet
62,Yochanan Alef
63,Yochanan Bet
64,Yochanan Gimel
65,Yehudah
66,Hitgalut
